X,Y,Index_,event_unique_id,year_,Division,homicide_type,occurrence_date,Hood_ID,Neighbourhood,Lat,Long,FID
-79.291465800000012,43.726997399999988,287,2061133,2007,D41,Stabbing,2007-03-09T05:00:00.000Z,119,Wexford/Maryvale (119),43.7269974,-79.2914658,487
-79.5483704,43.7487793,288,2065992,2007,D31,Shooting,2007-03-15T04:00:00.000Z,22,Humbermede (22),43.7487793,-79.5483704,488
-79.4408417,43.69265750000001,289,1564750,2007,D13,Shooting,2007-03-17T04:00:00.000Z,107,Oakwood Village (107),43.6926575,-79.4408417,489
-79.4123154,43.7804794,290,1438873,2007,D32,Other,2007-03-28T04:00:00.000Z,50,Newtonbrook East (50),43.7804794,-79.4123154,490
-79.5168915,43.7518196,291,2090220,2007,D31,Stabbing,2007-04-02T04:00:00.000Z,25,Glenfield-Jane Heights (25),43.7518196,-79.5168915,491
-79.3695602,43.6681747,292,2072766,2007,D51,Shooting,2007-04-04T04:00:00.000Z,71,Cabbagetown-South St.James Town (71),43.6681747,-79.3695602,492
-79.5870972,43.753620099999985,293,1447527,2007,D22,Shooting,2007-04-05T04:00:00.000Z,2,Mount Olive-Silverstone-Jamestown (2),43.7536201,-79.5870972,493
-79.2262497,43.7622032,294,1606685,2007,D43,Other,2007-04-06T04:00:00.000Z,137,Woburn (137),43.7622032,-79.2262497,494
-79.4405365,43.7551231,295,2086798,2007,D32,Stabbing,2007-04-09T04:00:00.000Z,34,Bathurst Manor (34),43.7551231,-79.4405365,495
-79.3543396,43.6650505,296,1842715,2007,D43,Shooting,2007-04-12T04:00:00.000Z,68,North Riverdale (68),43.6650505,-79.3543396,496
-79.2632904,43.733337400000011,297,2003231,2007,D41,Stabbing,2007-04-13T04:00:00.000Z,125,Ionview (125),43.7333374,-79.2632904,497
-79.5276794,43.7166977,298,2178693,2007,D31,Shooting,2007-04-21T04:00:00.000Z,26,Downsview-Roding-CFB (26),43.7166977,-79.5276794,498
-79.3507462,43.6777954,299,2021610,2007,D54,Stabbing,2007-04-22T04:00:00.000Z,67,Playter Estates-Danforth (67),43.6777954,-79.3507462,499
-79.3867874,43.6702271,300,1971014,2007,D51,Other,2007-04-29T04:00:00.000Z,98,Rosedale-Moore Park (98),43.6702271,-79.3867874,500
